iter	Passed	Remaining
401	15371	61104
402	15407	61057
403	15445	61016
404	15482	60973
405	15520	60935
406	15558	60897
407	15595	60854
408	15633	60813
409	15671	60774
410	15708	60733
411	15745	60689
412	15783	60648
413	15822	60612
414	15861	60579
415	15899	60538
416	15936	60497
417	15973	60454
418	16010	60410
419	16047	60370
420	16087	60337
421	16124	60295
422	16161	60251
423	16198	60208
424	16234	60164
425	16272	60123
426	16310	60087
427	16347	60041
428	16384	59999
429	16421	59956
430	16460	59922
431	16498	59883
432	16538	59850
433	16575	59808
434	16611	59764
435	16648	59721
436	16685	59679
437	16722	59637
438	16762	59605
439	16799	59561
440	16836	59518
441	16874	59482
442	16912	59440
443	16950	59402
444	16990	59371
445	17027	59329
446	17064	59287
447	17103	59251
448	17140	59209
449	17177	59167
450	17215	59127
451	17252	59086
452	17290	59046
453	17328	59008
454	17365	58965
455	17401	58921
456	17440	58886
457	17477	58844
458	17515	58803
459	17553	58765
460	17589	58721
461	17626	58678
462	17661	58629
463	17698	58588
464	17735	58547
465	17774	58510
466	17811	58467
467	17848	58426
468	17886	58389
469	17924	58350
470	17961	58309
471	18001	58276
472	18040	58239
473	18077	58198
474	18117	58166
475	18154	58123
476	18191	58082
477	18228	58040
478	18265	57998
479	18303	57962
480	18343	57927
481	18380	57887
482	18418	57847
483	18455	57806
484	18491	57763
485	18529	57724
486	18568	57688
487	18606	57648
488	18642	57606
489	18679	57564
490	18716	57521
491	18754	57482
492	18791	57442
493	18828	57400
494	18866	57361
495	18903	57319
496	18939	57275
497	18976	57234
498	19016	57200
499	19053	57159
500	19090	57119
501	19129	57083
502	19166	57041
503	19202	56997
504	19240	56960
505	19283	56935
506	19323	56903
507	19361	56864
508	19402	56834
509	19439	56793
510	19477	56754
511	19513	56711
512	19551	56673
513	19589	56632
514	19627	56596
515	19664	56555
516	19704	56520
517	19741	56479
518	19778	56440
519	19815	56398
520	19854	56361
521	19891	56322
522	19930	56285
523	19966	56242
524	20003	56201
525	20040	56159
526	20078	56121
527	20119	56089
528	20157	56051
529	20194	56009
530	20230	55968
531	20267	55927
532	20304	55886
533	20341	55844
534	20379	55806
535	20416	55763
536	20453	55723
537	20490	55683
538	20528	55643
539	20565	55604
540	20603	55566
541	20640	55524
542	20677	55483
543	20714	55442
544	20751	55401
545	20790	55365
546	20827	55325
547	20865	55285
548	20903	55246
549	20940	55206
550	20977	55166
551	21017	55133
552	21055	55094
553	21092	55053
554	21130	55016
555	21168	54978
556	21205	54937
557	21243	54897
558	21279	54853
559	21316	54814
560	21354	54776
561	21392	54737
562	21429	54697
563	21468	54661
564	21505	54621
565	21543	54581
566	21581	54544
567	21618	54503
568	21655	54462
569	21693	54424
570	21730	54383
571	21767	54343
572	21805	54305
573	21842	54264
574	21880	54225
575	21919	54189
576	21956	54149
577	21994	54111
578	22032	54073
