iter	Logloss
0	0.487278245
1	0.3376041511
2	0.2299278423
3	0.1543668657
4	0.1029266594
5	0.07042026444
6	0.04987881615
7	0.03402798152
8	0.02423555184
9	0.01815016633
10	0.01329321665
11	0.01004354895
12	0.007576525763
13	0.005834253126
14	0.004553667447
15	0.003610172059
16	0.00291324727
17	0.002366065928
18	0.001942824152
19	0.001626666798
20	0.001377250472
21	0.001174879778
22	0.00100931827
23	0.0008755724361
24	0.0007622248433
25	0.0006757200639
26	0.0006016407143
27	0.0005393490685
28	0.0004859033402
29	0.0004392567418
30	0.0003991136936
31	0.0003644553469
32	0.0003372018248
33	0.0003131761362
34	0.000291713277
35	0.0002725839742
36	0.0002553969667
37	0.0002399378201
38	0.0002259152968
39	0.0002153007302
40	0.0002055615389
41	0.0001964725967
42	0.0001880936024
43	0.0001802905877
44	0.0001729628908
45	0.0001662236112
46	0.0001599463726
47	0.0001539132003
48	0.0001498248804
49	0.0001459420695
50	0.00014230326
51	0.0001389273985
52	0.000135625659
53	0.0001323579426
54	0.0001292398022
55	0.0001262919483
56	0.000123418851
57	0.0001207376721
58	0.000118251197
59	0.0001158381412
60	0.000113555081
61	0.0001123776802
62	0.0001111262346
63	0.0001099237949
64	0.0001086830813
65	0.0001074775293
66	0.000106299153
67	0.0001051512331
68	0.0001039962696
69	0.0001028566369
70	0.0001017781811
71	0.0001007125111
72	9.968274786e-05
73	9.868844259e-05
74	9.772365975e-05
75	9.678726175e-05
76	9.585275569e-05
77	9.496878164e-05
78	9.409807771e-05
79	9.323708161e-05
80	9.24037619e-05
81	9.157716417e-05
82	9.077874052e-05
83	9.000467213e-05
84	9.000467213e-05
85	8.919061043e-05
86	8.919061043e-05
87	8.918984369e-05
88	8.91862269e-05
89	8.91862269e-05
90	8.91862269e-05
91	8.91862269e-05
92	8.91862269e-05
93	8.91862269e-05
94	8.917745918e-05
95	8.917745918e-05
96	8.917523301e-05
97	8.917523301e-05
98	8.918392537e-05
99	8.918392537e-05
100	8.916637485e-05
101	8.915853115e-05
102	8.917409338e-05
103	8.917409338e-05
104	8.917145042e-05
105	8.917145042e-05
106	8.917616489e-05
107	8.917616489e-05
108	8.917616489e-05
109	8.917616489e-05
110	8.916582503e-05
111	8.915929855e-05
